id,name,address,city,cuisine
1,arnie morton's of chicago, 435 s. la cienega blv., los angeles, american
2,art's delicatessen, 12224 ventura blvd., studio city, american
3,hotel bel-air, 701 stone canyon rd., bel air, californian
4,cafe bizou, 14016 ventura blvd., sherman oaks, french
5,campanile, 624 s. la brea ave., los angeles, american
6,chinois on main, 2709 main st., santa monica, french
7,citrus, 6703 melrose ave., los angeles, californian
8,fenix, 8358 sunset blvd. west, hollywood, american
9,granita, 23725 w. malibu rd., malibu, californian
10,grill on the alley, 9560 dayton way, los angeles, american
11,restaurant katsu, 1972 n. hillhurst ave., los angeles, asian
12,l'orangerie, 903 n. la cienega blvd., los angeles, french
13,le chardonnay, 8284 melrose ave., los angeles, french
14,locanda veneta, 3rd st., los angeles, italian
15,matsuhisa, 129 n. la cienega blvd., beverly hills, asian
16,the palm, 9001 santa monica blvd., los angeles, american
17,patina, 5955 melrose ave., los angeles, californian
18,philippe's the original, 1001 n. alameda st., los angeles, american
19,pinot bistro, 12969 ventura blvd., los angeles, french
20,rex il ristorante, 617 s. olive st., los angeles, italian
21,spago, 1114 horn ave., los angeles, californian
22,valentino, 3115 pico blvd., santa monica, italian
23,yujean kang's gourmet chinese cuisine, 67 n. raymond ave., los angeles, asian
24,21 club, 21 w. 52nd st., new york, american
25,aquavit, 13 w. 54th st., new york, continental
26,aureole, 34 e. 61st st., new york, american
27,cafe lalo, 201 w. 83rd st., new york, coffee bar
28,cafe des artistes, 1 w. 67th st., new york, continental
29,carmine's, 2450 broadway  between 90th and 91st sts., new york, italian
30,carnegie deli, 854 7th ave.  between 54th and 55th sts., new york, delicatessen
31,chanterelle, 2 harrison st.  near hudson st., new york, american
32,daniel, 20 e. 76th st., new york, french
33,dawat, 210 e. 58th st., new york, asian
34,felidia, 243 e. 58th st., new york, italian
35,four seasons grill room, 99 e. 52nd st., new york, american
36,gotham bar & grill, 12 e. 12th st., new york, american
37,gramercy tavern, 42 e. 20th st.  between park ave. s and broadway, new york, american
38,island spice, 402 w. 44th st., new york, tel caribbean
39,jo jo, 160 e. 64th st., new york, american
40,la caravelle, 33 w. 55th st., new york, french
41,la cote basque, 60 w. 55th st.  between 5th and 6th ave., new york, french
42,le bernardin, 155 w. 51st st., new york, french
43,les celebrites, 160 central park s, new york, french
44,lespinasse, 2 e. 55th st., new york, american
45,lutece, 249 e. 50th st., new york, french
46,manhattan ocean club, 57 w. 58th st., new york, seafood
47,march, 405 e. 58th st., new york, american
48,mesa grill, 102 5th ave.  between 15th and 16th sts., new york, american
49,mi cocina, 57 jane st.  off hudson st., new york, mexican
50,montrachet, 239 w. broadway  between walker and white sts., new york, french
51,oceana, 55 e. 54th st., new york, seafood
52,park avenue cafe, 100 e. 63rd st., new york, american
53,petrossian, 182 w. 58th st., new york, french
54,picholine, 35 w. 64th st., new york, mediterranean
55,pisces, 95 ave. a at 6th st., new york, seafood
56,rainbow room, 30 rockefeller plaza, new york, or 212/632-5100 american
57,river cafe, 1 water st. at the east river, brooklyn, american
58,san domenico, 240 central park s, new york, italian
59,second avenue deli, 156 2nd ave. at 10th st., new york, delicatessen
60,seryna, 11 e. 53rd st., new york, asian
61,shun lee west, 43 w. 65th st., new york, asian
62,sign of the dove, 1110 3rd ave. at 65th st., new york, american
63,smith & wollensky, 201 e. 49th st., new york, american
64,tavern on the green, in central park at 67th st., new york, american
65,uncle nick's, 747 9th ave.  between 50th and 51st sts., new york, mediterranean
66,union square cafe, 21 e. 16th st., new york, american
67,virgil's, 152 w. 44th st., new york, american
68,chin's, 3200 las vegas blvd. s, las vegas, asian
69,coyote cafe, 3799 las vegas blvd. s, las vegas, southwestern
70,le montrachet, 3000 w. paradise rd., las vegas, continental
71,palace court, 3570 las vegas blvd. s, las vegas, continental
72,second street grille, 200 e. fremont st., las vegas, seafood
73,steak house, 2880 las vegas blvd. s, las vegas, steak houses
74,tillerman, 2245 e. flamingo rd., las vegas, seafood
75,abruzzi, 2355 peachtree rd.  peachtree battle shopping center, atlanta, italian
76,bacchanalia, 3125 piedmont rd.  near peachtree rd., atlanta, international
77,bone's, 3130 piedmont road, atlanta, american
78,brasserie le coze, 3393 peachtree rd.  lenox square mall  near neiman marcus, atlanta, french
79,buckhead diner, 3073 piedmont road, atlanta, american
80,ciboulette, 1529 piedmont ave., atlanta, french
81,delectables, 1 margaret mitchell sq., atlanta, american
82,georgia grille, 2290 peachtree rd.  peachtree square shopping center, atlanta, american
83,hedgerose heights inn, 490 e. paces ferry rd., atlanta, international
84,heera of india, 595 piedmont ave.  rio shopping mall, atlanta, asian
85,indigo coastal grill, 1397 n. highland ave., atlanta, caribbean
86,la grotta, 2637 peachtree rd.  peachtree house condominium, atlanta, italian
87,mary mac's tea room, 224 ponce de leon ave., atlanta, southern
88,nikolai's roof, 255 courtland st.  at harris st., atlanta, continental
89,pano's and paul's, 1232 w. paces ferry rd., atlanta, international
90,cafe  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, ext 6108 international
91,dining room  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, international
92,restaurant  ritz-carlton  atlanta, 181 peachtree st., atlanta, continental
93,toulouse, b peachtree rd., atlanta, french
94,veni vidi vici, 41 14th st., atlanta, italian
95,alain rondelli, 126 clement st., san francisco, french
96,aqua, 252 california st., san francisco, seafood
97,boulevard, 1 mission st., san francisco, american
98,cafe claude, 7 claude la., san francisco, french
99,campton place, 340 stockton st., san francisco, american
100,chez michel, 804 northpoint, san francisco, french
101,fleur de lys, 777 sutter st., san francisco, french
102,fringale, 570 4th st., san francisco, french
